"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"TLK1|9874",0.654646734655021,5.6641533043513,4.32461609369788,2.07025978281452e-05,0.00610062590339568,2.38205285443584
"ADAM23|8745",3.02479558964032,3.27952486434412,4.29854398914004,2.3136539818541e-05,0.00661779033141476,2.42706576001154
"NECAB2|54550",3.03940718462405,-3.1708486396657,4.29558675599225,2.34292888195359e-05,0.00661779033141476,1.34528810559091
"WNT5A|7474",1.72866638351848,5.8859381574923,4.29259764589222,2.37287910461792e-05,0.00661779033141476,2.24717141002535
"CREG1|8804",1.13663923783034,6.65324104462157,4.27433830854926,2.56393580293522e-05,0.0070251841000425,2.1645157238072
"ZMYM1|79830",-0.670977226536266,3.65098509958814,-4.26632666590805,2.65232924599659e-05,0.0071420824420646,2.28005484556489
"FECH|2235",0.80835245388395,4.32783247100103,4.2492715357122,2.85029795773493e-05,0.00743247048868635,2.16376223689913
"SEMA3E|9723",3.00820544619599,-3.58010789398791,4.24885145413884,2.85534786349841e-05,0.00743247048868635,1.04871979738834
"SLC12A8|84561",1.40783586815974,3.8751883299257,4.24311511559737,2.92516679067764e-05,0.00748938605521367,2.17401914898592
"SMOC2|64094",2.00675851734298,2.87289704773467,4.21400953106275,3.30528574412607e-05,0.00832612141157435,2.11786947339037
"DDX3X|1654",-0.729180992537187,8.26250151370182,-4.14063697793607,4.48398448732811e-05,0.0111160110671572,1.66581266872648
"HHIPL2|79802",3.07238248796723,-2.90171355192257,4.12981122632153,4.68866463019525e-05,0.0114418069053734,0.953362494062296
"CABYR|26256",2.06514968189529,1.14456974839566,4.09918516612376,5.31702779954458e-05,0.0127755907958903,1.66827432663125
"ME1|4199",1.80430578058376,4.86997054615192,4.08380595254577,5.66205060900402e-05,0.013214746977167,1.48710579271276
"ZNF611|81856",-1.27963419731112,2.09725374902761,-4.08350444200085,5.66902322621455e-05,0.013214746977167,1.64149718872054
"GPSM2|29899",-1.05854736595767,5.76760013428825,-4.0694905695581,6.00227303684072e-05,0.0137858088660851,1.38495058311758
"UGT1A9|54600",4.70105349773094,-1.41916146324618,4.06295876266263,6.16389209805713e-05,0.013951835766298,1.17079257132742
"AKR1C2|1646",3.34610641657982,5.908766525097,4.05549530405945,6.35363073865344e-05,0.0141758578394699,1.32746086161074
"DDX20|11218",-0.627310495951083,4.21861079929984,-4.01988458129733,7.33800730693445e-05,0.016141549030944,1.2983467953174
"SAMD5|389432",2.03900813716404,0.972756481403546,4.00956187379636,7.64942539416936e-05,0.0165928785841857,1.34357360419076
"MAP1B|4131",1.78133385290365,5.19124665639238,3.99603973429477,8.07639785678303e-05,0.0172790659900325,1.13672659122796
"ALDH3A1|218",3.33595245457099,5.82975916293639,3.98003505481751,8.61101866229191e-05,0.0181739039821183,1.04721884424623
"EPS8|2059",1.59894578012216,4.12278230268611,3.95814770117379,9.39674935620587e-05,0.0195677908593631,1.07906009152483
"ABHD4|63874",1.01127374721894,5.49391813090568,3.94575448402543,9.87134168965969e-05,0.0202856071722507,0.934092283168067
"SPP1|6696",2.74894733180058,6.34793792402525,3.93818128174021,0.000101724548315776,0.0206329090337116,0.881164297211495
"MDGA1|266727",1.82184583192476,3.19420489317274,3.93160344907111,0.00010441042176487,0.0209061790656889,1.05911959006236
"GPX2|2877",3.55156820417474,5.24559541388393,3.91438818729582,0.000111761723252688,0.0220948682754491,0.83250198929527
"RAP1GAP|5909",1.6440158845626,3.13765364420288,3.90976370808516,0.00011381854670678,0.0222202257808311,0.984737477292608
"GLA|2717",0.767088363711788,4.56269054809853,3.89099495238033,0.000122540418670099,0.0236276081332051,0.796693590943909
"GCLC|2729",1.42039659143519,6.23878955705656,3.88277692394305,0.000126555419705644,0.0241041773775944,0.679881615465905
"MOBKL2B|79817",-1.49469469667916,4.75174131286083,-3.87725029731207,0.000129325240903908,0.0243349591859908,0.731735986119492
"CLDN8|9073",3.93464779036653,-2.02447565186286,3.87219454801468,0.000131909263994943,0.0245257010127741,0.446530420704103
"FTH1|2495",0.901338393582132,9.75730795265093,3.86082837205212,0.000137898211715726,0.0253375796538377,0.664155547558059
"ZNF709|163051",-1.19141333109182,0.308888030313045,-3.8435235964555,0.000147512746037397,0.0267890007861868,0.737489195978816
"SPSB1|80176",0.802708635633295,5.97462108754819,3.8309908522083,0.000154868303582564,0.0278015306362355,0.498535509309069
"AGPAT9|84803",1.69967183794807,2.25891100687514,3.80493235650637,0.000171287284766877,0.0303881299134347,0.657904148890413
"FAM190A|401145",2.45605118803611,-1.56201066395744,3.80209924407498,0.000173168367415526,0.0303881299134347,0.339375755550196
"RBM19|9904",0.681379738475978,5.32222042269307,3.78165507570458,0.000187332717852375,0.0320224701527626,0.350509650109452
"SDK1|221935",1.70389687796341,4.75412425748556,3.78023092769775,0.000188359128728708,0.0320224701527626,0.385150057971479
