"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"PMS2L11|441263",1.6154234009135,1.06631669964944,3.8576568936856,0.000201995049653609,0.0183652105122651,0.560159476475576
"KEAP1|9817",0.694849787639632,6.65742885493785,3.85758719893977,0.000202045183936148,0.0183652105122651,0.163028533164682
"NSUN3|63899",1.08142205144939,2.38829180443846,3.85472495661341,0.000204114389979623,0.018447275382387,0.525750632333838
"PLA2G3|50487",4.8304360083777,-3.18195507045649,3.85029560385516,0.000207356378106876,0.018633798159877,0.129062756487791
"GRPEL2|134266",1.09870913368261,4.68430422045304,3.84481691626758,0.000211434335802695,0.0188929121754544,0.252360331484859
"TMPRSS11A|339967",5.16475633416497,-2.99264877174597,3.84028597912021,0.000214864485196227,0.0190915544823793,0.134761568438041
"ALDH1A2|8854",-3.65905742801575,0.948735106989317,-3.83557035393476,0.000218490735858869,0.0193053043482898,0.490199094212967
"CDKL2|8999",-2.92388149091169,-0.71812937266666,-3.8335633000562,0.000220051758422697,0.019335214506741,0.402931294378522
"ZNF493|284443",-1.93978030360914,2.32475115053489,-3.83177850876583,0.00022144883309047,0.0193504681997728,0.455522872776261
"KLHL35|283212",-2.56168220341648,0.530155668795887,-3.82783274216264,0.000224567498054713,0.019515162358425,0.457437778077258
"ZNF100|163227",-1.44556525337076,3.06726654132946,-3.82292047543106,0.000228508555058576,0.0197491328240789,0.374129908831857
"ZNF665|79788",-2.53063804375551,-0.0990730481714838,-3.81916986979123,0.000231561883765951,0.019904254095882,0.40401918401373
"PHEX|5251",3.59011451247513,-2.29042750787616,3.81310633912179,0.000236580476790498,0.0200283082487657,0.168602375097857
"PANX2|56666",2.98572643786242,2.39507239170271,3.81295709509093,0.000236705297850809,0.0200283082487657,0.391898467124843
"AKR1B15|441282",5.11797552630671,-0.94341100642274,3.81283901429148,0.000236804099805209,0.0200283082487657,0.322706514640482
"FAM50A|9130",-0.771670397725518,6.41882762186481,-3.80900023469819,0.000240037602688902,0.0201373573659212,0.0064706772791272
"RARB|5915",2.39785054655431,2.23940599696682,3.8072264279453,0.000241545885980868,0.0201373573659212,0.381525398612323
"CELSR1|9620",2.42526608232532,5.59244512362226,3.80679614177487,0.000241913119595664,0.0201373573659212,0.0381212739847125
"LOC100133161|100133161",1.98544475573546,0.847180336646091,3.80499413950192,0.000243456845473825,0.0201597563770368,0.394543048891975
"GCNT3|9245",4.82884904802033,-0.704765111620449,3.80252893739903,0.000245583913204145,0.0202299748501915,0.313063421931803
"CDK20|23552",-1.85219008826395,2.37456627121794,-3.7858475457475,0.000260448971450113,0.0213192745129876,0.306960414850166
"CCDC19|25790",-2.40981621726483,0.801305772904616,-3.78336849209646,0.000262729866450837,0.0213192745129876,0.327665013491367
"GPI|2821",1.14072760164306,8.68411552647099,3.7832369214506,0.000262851449799734,0.0213192745129876,-0.079658874110164
